IdJogador,NomeJogador,MediaAces,MediaDuplaFalta,PctPrimeiroServico,PctPontosPrimeiroServico,PctPontosSegundoServico,ClassificacaoSaque,PctGamesSaqueGanhos,Rank,Id
Z355,Alexander Zverev,9.5,2.2,71.2,76.8,54.8,300.3,90.2,,
M0GZ,Giovanni Mpetshi Perricard,19.0,5.5,64.7,79.7,52.8,299.5,88.8,,
BK40,Matteo Berrettini,9.4,1.5,68.2,77.6,52.7,296.2,89.8,,
HB71,Hubert Hurkacz,13.4,1.7,63.2,77.7,54.5,295.8,88.7,,
S0AG,Jannik Sinner,7.4,1.9,61.4,79.4,57.9,295.6,91.4,,
S0S1,Ben Shelton,9.5,3.4,68.7,76.0,54.1,294.0,89.1,,
FB98,Taylor Fritz,10.5,1.7,62.3,78.4,55.2,293.0,88.3,,
N0AE,Brandon Nakashima,8.6,1.1,66.0,74.4,55.7,291.3,87.7,,
D875,Grigor Dimitrov,8.3,3.7,61.1,79.9,52.2,285.0,87.2,,
D643,Novak Djokovic,7.1,2.6,63.7,75.4,55.1,284.4,85.7,,
RE44,Andrey Rublev,8.4,2.6,61.7,76.6,53.6,284.4,86.7,,
A0E2,Carlos Alcaraz,4.7,2.1,65.3,73.0,57.4,283.8,85.5,,
HH26,Ugo Humbert,7.0,2.0,63.7,73.0,55.4,282.8,85.7,,
SU87,Lorenzo Sonego,6.5,1.9,67.4,73.6,51.6,281.1,83.9,,
P09Z,Alexei Popyrin,10.2,3.2,63.9,75.0,50.5,280.8,84.4,,
RH16,Casper Ruud,5.9,2.1,65.4,72.9,53.9,279.9,83.9,,
TE51,Stefanos Tsitsipas,6.9,3.0,60.6,74.6,54.5,279.9,86.3,,
KE29,Karen Khachanov,7.5,1.7,64.3,74.3,52.3,279.6,82.9,,
L0BV,Jiri Lehecka,8.1,2.6,61.1,76.1,52.1,279.5,84.7,,
GJ37,Tallon Griekspoor,9.0,3.7,63.2,74.4,52.7,279.4,83.8,,
RC91,Arthur Rinderknech,11.0,2.7,62.5,76.4,49.3,279.4,82.9,,
R0DG,Holger Rune,6.7,2.9,60.2,74.0,55.2,277.9,84.7,,
D0CO,Jack Draper,8.5,3.3,58.7,78.2,50.5,276.8,84.2,,
TD51,Frances Tiafoe,8.5,2.5,58.3,75.1,53.1,276.6,84.1,,
J551,Nicolas Jarry,8.9,2.4,63.4,74.5,49.9,276.5,82.2,,
Z371,Zhizhen Zhang,7.8,2.0,62.9,73.2,51.9,276.4,82.6,,
TE30,Alejandro Tabilo,7.3,2.5,64.0,74.8,49.1,276.2,83.5,,
SL28,Jan-Lennard Struff,10.0,4.4,58.0,77.2,51.0,276.0,84.2,,
AG37,Felix Auger-Aliassime,8.2,4.3,62.3,74.8,51.0,275.7,83.7,,
K0AH,Sebastian Korda,7.6,1.7,60.3,74.4,52.5,275.4,82.3,,
EA24,Tomas Martin Etcheverry,6.8,1.7,65.2,72.4,49.9,274.5,81.9,,
N771,Cameron Norrie,5.4,2.3,64.3,72.6,51.6,273.6,82.0,,
SU55,Denis Shapovalov,7.9,6.3,59.5,77.4,49.7,273.5,85.3,,
PL56,Tommy Paul,5.7,1.8,61.0,71.6,54.9,273.3,81.9,,
K0AZ,Aleksandar Kovacevic,10.3,3.6,59.1,75.9,49.0,273.2,82.5,,
MC65,Gael Monfils,9.0,4.2,60.1,74.3,51.3,272.5,82.0,,
TC61,Jordan Thompson,6.7,1.2,60.0,72.5,53.3,272.1,80.8,,
F0F1,Arthur Fils,6.3,3.4,60.9,75.1,49.6,270.5,82.0,,
M0EJ,Lorenzo Musetti,3.8,1.8,64.9,70.6,53.2,270.4,79.7,,
M0QI,Alex Michelsen,4.7,2.4,67.8,69.5,51.0,270.1,79.5,,
CG80,Borna Coric,6.7,2.3,61.3,72.1,51.5,270.0,80.7,,
V832,Aleksandar Vukic,9.0,1.8,59.4,73.7,50.0,269.7,79.4,,
GC88,Marcos Giron,5.1,1.4,60.3,73.1,51.2,269.5,81.2,,
O483,Christopher O'Connell,7.5,2.0,59.1,73.7,49.4,268.9,81.2,,
DH50,Alejandro Davidovich Fokina,5.2,2.6,67.3,68.0,52.1,268.6,78.6,,
L987,Dusan Lajovic,2.5,1.1,70.3,67.8,50.2,268.4,78.7,,
H997,Yannick Hanfmann,4.8,1.9,67.2,68.0,51.8,267.8,77.9,,
BD06,Roberto Bautista Agut,2.5,2.1,68.0,67.6,52.9,267.7,78.8,,
BU13,Zizou Bergs,6.7,3.4,62.3,71.5,51.7,267.6,78.8,,
M0NI,Jakub Mensik,10.7,4.1,59.0,74.5,46.9,267.5,80.5,,
S0RE,Juncheng Shang,4.6,2.5,61.6,70.7,53.2,267.5,79.9,,
SX50,Roman Safiullin,7.3,3.1,60.7,73.8,49.7,267.5,79.1,,
KI95,Miomir Kecmanovic,4.6,2.1,61.7,71.0,52.8,266.9,78.9,,
PH71,Max Purcell,7.6,2.4,57.0,73.2,52.4,266.6,78.8,,
N732,Yoshihito Nishioka,2.4,1.4,63.1,67.6,55.3,266.2,79.2,,
MM58,Daniil Medvedev,6.9,4.8,61.3,73.2,49.2,265.6,79.8,,
M0FH,Tomas Machac,5.2,2.9,62.0,70.7,51.3,265.5,79.2,,
DH58,Alex de Minaur,4.5,2.7,54.3,73.1,54.4,264.6,81.0,,
O513,Sebastian Ofner,9.1,2.8,56.5,73.8,49.8,264.5,78.1,,
K09F,Pavel Kotov,4.0,2.7,65.7,69.9,48.3,264.2,79.0,,
BK92,Alexander Bublik,11.6,6.6,59.9,75.7,43.8,262.6,78.2,,
BT72,Nuno Borges,5.9,3.0,62.2,70.9,49.6,262.1,76.5,,
AE14,Daniel Altmaier,5.9,2.6,62.5,70.8,48.2,261.9,77.1,,
C0E9,Flavio Cobolli,6.0,3.5,54.9,73.4,50.8,261.7,80.1,,
SX91,Thiago Seyboth Wild,5.5,3.0,62.8,69.1,49.6,261.6,77.6,,
D0FJ,Luciano Darderi,5.7,2.5,58.4,70.6,51.0,261.2,78.0,,
CF59,Roberto Carballes Baena,2.8,2.1,64.9,67.6,52.2,261.1,75.7,,
B0BI,Sebastian Baez,2.2,2.0,71.7,63.5,51.8,260.9,73.7,,
M0CI,Fabian Marozsan,4.7,2.5,64.6,69.2,49.4,260.6,75.2,,
C0AU,Francisco Cerundolo,3.5,3.2,63.8,68.0,51.1,260.3,77.1,,
MP20,Alexandre Muller,3.5,1.9,64.5,67.8,50.1,259.2,75.2,,
KE73,Dominik Koepfer,4.3,3.1,61.9,67.8,51.3,259.1,76.9,,
D0CG,Facundo Diaz Acosta,2.7,3.0,64.4,66.7,52.2,258.9,75.9,,
A0FC,Matteo Arnaldi,7.3,3.4,56.5,70.8,49.3,256.8,76.3,,
ME82,Adrian Mannarino,4.6,2.4,59.3,67.8,51.0,254.8,74.5,,
S0H2,Alexander Shevchenko,5.7,2.7,59.6,68.5,49.0,254.1,74.0,,
DA81,Taro Daniel,4.2,2.0,60.5,67.5,49.2,253.6,74.2,,
MU94,Jaume Munar,3.5,3.7,64.4,67.8,46.7,251.1,72.4,,
GB88,David Goffin,5.1,3.3,59.4,69.3,47.2,250.9,73.2,,
MO44,Pedro Martinez,2.4,4.1,68.7,65.5,46.2,250.6,71.9,,
V812,Botic van de Zandschulp,4.7,3.9,61.2,69.9,44.3,248.6,72.4,,
H0BH,Rinky Hijikata,4.3,3.1,58.7,68.9,47.1,248.4,72.5,,
N0BS,Mariano Navone,2.5,2.3,65.0,63.4,47.3,243.3,67.4,,
